,precision,recall,f1-score,support,accuracy,file,kind
N1,0.2777777777777778,0.11627906976744186,0.1639344262295082,43.0,0.9328947368421052,1HB20_nuit_2.edf,noxturnal
N2,0.428927680798005,0.864321608040201,0.5733333333333334,199.0,0.6631578947368421,1HB20_nuit_2.edf,noxturnal
N3,0.84,0.6857142857142857,0.7550561797752808,245.0,0.8565789473684211,1HB20_nuit_2.edf,noxturnal
REM,0.2876712328767123,0.20192307692307693,0.23728813559322035,104.0,0.8223684210526315,1HB20_nuit_2.edf,noxturnal
Wake,0.8529411764705882,0.3431952662721893,0.48945147679324885,169.0,0.8407894736842105,1HB20_nuit_2.edf,noxturnal
accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052,,1HB20_nuit_2.edf,noxturnal
macro avg,0.5374635735846167,0.44228666134343897,0.4438127103449183,760.0,,1HB20_nuit_2.edf,noxturnal
weighted avg,0.6278498946920459,0.5578947368421052,0.5441138728761841,760.0,,1HB20_nuit_2.edf,noxturnal
N1,0.0,0.0,0.0,48.0,0.9399759903961584,1HB20_nuit_2.edf,algo
N2,0.48314606741573035,0.6935483870967742,0.5695364238410596,248.0,0.687875150060024,1HB20_nuit_2.edf,algo
N3,0.9557522123893806,0.44081632653061226,0.6033519553072626,245.0,0.82953181272509,1HB20_nuit_2.edf,algo
REM,0.25,0.02564102564102564,0.04651162790697674,117.0,0.8523409363745498,1HB20_nuit_2.edf,algo
Wake,0.42857142857142855,0.8571428571428571,0.5714285714285714,175.0,0.7298919567827131,1HB20_nuit_2.edf,algo
accuracy,0.5198079231692677,0.5198079231692677,0.5198079231692677,0.5198079231692677,,1HB20_nuit_2.edf,algo
macro avg,0.4234939416753079,0.4034297192822538,0.3581657156967741,833.0,,1HB20_nuit_2.edf,algo
weighted avg,0.5500954582887148,0.5198079231692677,0.47359918682830543,833.0,,1HB20_nuit_2.edf,algo
N1,0.07142857142857142,0.09090909090909091,0.08,77.0,0.831413612565445,1HB20_nuit_2_resmed.edf,noxturnal
N2,0.6504065040650406,0.7643312101910829,0.7027818448023426,314.0,0.787434554973822,1HB20_nuit_2_resmed.edf,noxturnal
N3,0.8987341772151899,0.8402366863905325,0.8685015290519877,169.0,0.9549738219895288,1HB20_nuit_2_resmed.edf,noxturnal
Wake,0.9302325581395349,0.6075949367088608,0.7350689127105666,395.0,0.818848167539267,1HB20_nuit_2_resmed.edf,noxturnal
micro avg,0.7123442808607021,0.6586387434554973,0.6844396082698585,955.0,,1HB20_nuit_2_resmed.edf,noxturnal
macro avg,0.6377004527120842,0.5757679810498918,0.5965880716412243,955.0,,1HB20_nuit_2_resmed.edf,noxturnal
weighted avg,0.7634089829224148,0.6586387434554973,0.695248668270571,955.0,,1HB20_nuit_2_resmed.edf,noxturnal
N1,0.0,0.0,0.0,77.0,0.9192872117400419,1HB20_nuit_2_resmed.edf,algo
N2,0.6576576576576577,0.23248407643312102,0.3435294117647059,314.0,0.7075471698113207,1HB20_nuit_2_resmed.edf,algo
N3,0.937984496124031,0.7159763313609467,0.8120805369127516,169.0,0.9412997903563941,1HB20_nuit_2_resmed.edf,algo
Wake,0.5369318181818182,0.9593908629441624,0.6885245901639344,394.0,0.6415094339622641,1HB20_nuit_2_resmed.edf,algo
micro avg,0.6059322033898306,0.59958071278826,0.6027397260273973,954.0,,1HB20_nuit_2_resmed.edf,algo
macro avg,0.5331434929908767,0.4769628176845575,0.461033634710348,954.0,,1HB20_nuit_2_resmed.edf,algo
weighted avg,0.6043763319843838,0.59958071278826,0.5412877720722882,954.0,,1HB20_nuit_2_resmed.edf,algo
N1,0.0,0.0,0.0,84.0,0.9121909633418585,1MF19_nuit_son.edf,noxturnal
N2,0.525305410122164,0.8624641833810889,0.6529284164859003,349.0,0.7271952259164536,1MF19_nuit_son.edf,noxturnal
N3,0.736,0.8518518518518519,0.7896995708154506,108.0,0.9582267689684569,1MF19_nuit_son.edf,noxturnal
REM,0.9481481481481482,0.8448844884488449,0.893542757417103,303.0,0.947996589940324,1MF19_nuit_son.edf,noxturnal
Wake,0.9408602150537635,0.5319148936170213,0.6796116504854369,329.0,0.8593350383631714,1MF19_nuit_son.edf,noxturnal
accuracy,0.7024722932651322,0.7024722932651322,0.7024722932651322,0.7024722932651322,,1MF19_nuit_son.edf,noxturnal
macro avg,0.6300627546648151,0.6182230834597614,0.6031564790407782,1173.0,,1MF19_nuit_son.edf,noxturnal
weighted avg,0.7328657184775893,0.7024722932651322,0.6884017557619257,1173.0,,1MF19_nuit_son.edf,noxturnal
N1,0.0,0.0,0.0,84.0,0.916595744680851,1MF19_nuit_son.edf,algo
N2,0.6038647342995169,0.35816618911174786,0.4496402877697842,349.0,0.7395744680851064,1MF19_nuit_son.edf,algo
N3,0.8888888888888888,0.7407407407407407,0.808080808080808,108.0,0.9676595744680851,1MF19_nuit_son.edf,algo
REM,0.596551724137931,0.570957095709571,0.5834738617200674,303.0,0.7897872340425532,1MF19_nuit_son.edf,algo
Wake,0.45818815331010454,0.7945619335347432,0.5812154696132596,331.0,0.6774468085106383,1MF19_nuit_son.edf,algo
accuracy,0.5455319148936171,0.5455319148936171,0.5455319148936171,0.5455319148936171,,1MF19_nuit_son.edf,algo
macro avg,0.5094987001272883,0.4928851918193605,0.4844820854367839,1175.0,,1MF19_nuit_son.edf,algo
weighted avg,0.5439695688765694,0.5455319148936171,0.5220187985085544,1175.0,,1MF19_nuit_son.edf,algo
N1,0.1111111111111111,0.03278688524590164,0.05063291139240506,61.0,0.9253731343283582,1UC22_nuit_2.edf,noxturnal
N2,0.6837060702875399,0.8916666666666667,0.7739602169981916,480.0,0.7512437810945274,1UC22_nuit_2.edf,noxturnal
N3,0.5714285714285714,0.4727272727272727,0.5174129353233831,110.0,0.9034825870646767,1UC22_nuit_2.edf,noxturnal
REM,0.7607655502392344,0.7035398230088495,0.7310344827586207,226.0,0.8835820895522388,1UC22_nuit_2.edf,noxturnal
eveil,0.0,0.0,0.0,128.0,0.872636815920398,1UC22_nuit_2.edf,noxturnal
micro avg,0.6790254237288136,0.6378109452736318,0.6577732170343766,1005.0,,1UC22_nuit_2.edf,noxturnal
macro avg,0.42540226061329134,0.4201441295297381,0.41460810929452013,1005.0,,1UC22_nuit_2.edf,noxturnal
weighted avg,0.566912287290554,0.6378109452736318,0.5937499778538201,1005.0,,1UC22_nuit_2.edf,noxturnal
N1,0.0,0.0,0.0,61.0,0.9372509960159362,1UC22_nuit_2.edf,algo
N2,0.6581875993640699,0.8625,0.7466185752930568,480.0,0.7201195219123506,1UC22_nuit_2.edf,algo
N3,0.7407407407407407,0.18181818181818182,0.291970802919708,110.0,0.9033864541832669,1UC22_nuit_2.edf,algo
REM,0.6820512820512821,0.588495575221239,0.6318289786223279,226.0,0.8456175298804781,1UC22_nuit_2.edf,algo
eveil,0.0,0.0,0.0,127.0,0.8735059760956175,1UC22_nuit_2.edf,algo
micro avg,0.6647127784290738,0.5647410358565738,0.6106623586429725,1004.0,,1UC22_nuit_2.edf,algo
macro avg,0.4161959244312186,0.3265627514078842,0.3340836713670185,1004.0,,1UC22_nuit_2.edf,algo
weighted avg,0.5493576881671561,0.5647410358565738,0.5311624040144235,1004.0,,1UC22_nuit_2.edf,algo
N1,0.078125,0.04424778761061947,0.05649717514124294,113.0,0.8365949119373777,1UC22_nuit_3.edf,noxturnal
N2,0.6556420233463035,0.7185501066098081,0.6856561546286878,469.0,0.6976516634050881,1UC22_nuit_3.edf,noxturnal
N3,0.24817518248175183,0.7906976744186046,0.37777777777777777,43.0,0.8904109589041096,1UC22_nuit_3.edf,noxturnal
REM,0.6105263157894737,0.6444444444444445,0.6270270270270271,180.0,0.8649706457925636,1UC22_nuit_3.edf,noxturnal
Wake,0.7008547008547008,0.3778801843317972,0.49101796407185627,217.0,0.8336594911937377,1UC22_nuit_3.edf,noxturnal
accuracy,0.5616438356164384,0.5616438356164384,0.5616438356164384,0.5616438356164384,,1UC22_nuit_3.edf,noxturnal
macro avg,0.458664644494446,0.5151640394830548,0.44759521972931837,1022.0,,1UC22_nuit_3.edf,noxturnal
weighted avg,0.5762974302580303,0.5616438356164384,0.5514844665603886,1022.0,,1UC22_nuit_3.edf,noxturnal
N1,0.0,0.0,0.0,113.0,0.8862745098039215,1UC22_nuit_3.edf,algo
N2,0.6316725978647687,0.7569296375266524,0.6886517943743938,469.0,0.6852941176470588,1UC22_nuit_3.edf,algo
N3,0.16666666666666666,0.23255813953488372,0.1941747572815534,43.0,0.9186274509803921,1UC22_nuit_3.edf,algo
REM,0.5041666666666667,0.6722222222222223,0.5761904761904761,180.0,0.8254901960784313,1UC22_nuit_3.edf,algo
Wake,0.6129032258064516,0.4418604651162791,0.5135135135135135,215.0,0.8235294117647058,1UC22_nuit_3.edf,algo
accuracy,0.5696078431372549,0.5696078431372549,0.5696078431372549,0.5696078431372549,,1UC22_nuit_3.edf,algo
macro avg,0.38308183140091073,0.4207140928800075,0.39450610827198734,1020.0,,1UC22_nuit_3.edf,algo
weighted avg,0.5156326555035592,0.5696078431372549,0.5347518600435183,1020.0,,1UC22_nuit_3.edf,algo
N1,0.0,0.0,0.0,64.0,0.9142857142857143,2CT04_nuit_1.edf,noxturnal
N2,0.3617021276595745,0.7555555555555555,0.4892086330935252,225.0,0.5773809523809523,2CT04_nuit_1.edf,noxturnal
N3,0.7874015748031497,0.8163265306122449,0.8016032064128258,245.0,0.8821428571428571,2CT04_nuit_1.edf,noxturnal
REM,0.9135802469135802,0.2948207171314741,0.4457831325301205,251.0,0.780952380952381,2CT04_nuit_1.edf,noxturnal
Wake,0.48148148148148145,0.23636363636363636,0.3170731707317073,55.0,0.9333333333333333,2CT04_nuit_1.edf,noxturnal
accuracy,0.544047619047619,0.544047619047619,0.544047619047619,0.544047619047619,,2CT04_nuit_1.edf,noxturnal
macro avg,0.5088330861715572,0.42061328793258224,0.4107336285536357,840.0,,2CT04_nuit_1.edf,noxturnal
weighted avg,0.6310553428654359,0.544047619047619,0.518803950800583,840.0,,2CT04_nuit_1.edf,noxturnal
N1,0.0,0.0,0.0,64.0,0.9237187127532777,2CT04_nuit_1.edf,algo
N2,0.3568281938325991,0.36160714285714285,0.3592017738359201,224.0,0.6555423122765197,2CT04_nuit_1.edf,algo
N3,0.5868852459016394,0.7306122448979592,0.6509090909090909,245.0,0.7711561382598331,2CT04_nuit_1.edf,algo
REM,0.7852760736196319,0.5099601593625498,0.6183574879227054,251.0,0.8116805721096544,2CT04_nuit_1.edf,algo
Wake,0.125,0.32727272727272727,0.18090452261306533,55.0,0.8057210965435042,2CT04_nuit_1.edf,algo
accuracy,0.48390941597139453,0.48390941597139453,0.48390941597139453,0.48390941597139453,,2CT04_nuit_1.edf,algo
macro avg,0.37079790267077406,0.38589045487807583,0.3618745750561564,839.0,,2CT04_nuit_1.edf,algo
weighted avg,0.5097684089903831,0.48390941597139453,0.4828264634377723,839.0,,2CT04_nuit_1.edf,algo
N1,0.11538461538461539,0.3333333333333333,0.17142857142857146,9.0,0.9655990510083037,2LS05_nuit_1.edf,noxturnal
N2,0.6468842729970327,0.7927272727272727,0.7124183006535947,275.0,0.7912218268090154,2LS05_nuit_1.edf,noxturnal
N3,0.8933333333333333,0.8072289156626506,0.8481012658227848,249.0,0.9145907473309609,2LS05_nuit_1.edf,noxturnal
REM,0.8125,0.5958333333333333,0.6875000000000001,240.0,0.8457888493475683,2LS05_nuit_1.edf,noxturnal
Wake,0.13924050632911392,0.15714285714285714,0.1476510067114094,70.0,0.8493475682087782,2LS05_nuit_1.edf,noxturnal
accuracy,0.6832740213523132,0.6832740213523132,0.6832740213523132,0.6832740213523132,,2LS05_nuit_1.edf,noxturnal
macro avg,0.5214685456088191,0.5372531424398894,0.5134198289232721,843.0,,2LS05_nuit_1.edf,noxturnal
weighted avg,0.7190017462107752,0.6832740213523132,0.6927291524107566,843.0,,2LS05_nuit_1.edf,noxturnal
N1,0.0,0.0,0.0,9.0,0.985731272294887,2LS05_nuit_1.edf,algo
N2,0.6680672268907563,0.5781818181818181,0.6198830409356725,275.0,0.7681331747919143,2LS05_nuit_1.edf,algo
N3,0.9052631578947369,0.6907630522088354,0.7835990888382689,249.0,0.8870392390011891,2LS05_nuit_1.edf,algo
REM,0.5709090909090909,0.6596638655462185,0.6120857699805068,238.0,0.7633769322235434,2LS05_nuit_1.edf,algo
Wake,0.0962962962962963,0.18571428571428572,0.1268292682926829,70.0,0.7871581450653984,2LS05_nuit_1.edf,algo
accuracy,0.5957193816884662,0.5957193816884662,0.5957193816884662,0.5957193816884662,,2LS05_nuit_1.edf,algo
macro avg,0.448107154398176,0.4228646043302316,0.42847943360942625,841.0,,2LS05_nuit_1.edf,algo
weighted avg,0.6560595934457216,0.5957193816884662,0.6184761847965368,841.0,,2LS05_nuit_1.edf,algo
N1,0.13043478260869565,0.1,0.11320754716981132,30.0,0.9539666993143977,2SJ03_nuit_1.edf,noxturnal
N2,0.5597014925373134,0.8982035928143712,0.689655172413793,334.0,0.7355533790401567,2SJ03_nuit_1.edf,noxturnal
N3,0.9942196531791907,0.5308641975308642,0.6921529175050303,324.0,0.8501469147894222,2SJ03_nuit_1.edf,noxturnal
REM,0.9076305220883534,0.904,0.9058116232464929,250.0,0.9539666993143977,2SJ03_nuit_1.edf,noxturnal
Wake,0.7,0.3373493975903614,0.45528455284552843,83.0,0.9343780607247796,2SJ03_nuit_1.edf,noxturnal
accuracy,0.7140058765915769,0.7140058765915769,0.7140058765915769,0.7140058765915769,,2SJ03_nuit_1.edf,noxturnal
macro avg,0.6583972900827106,0.5540834375871194,0.5712223626361312,1021.0,,2SJ03_nuit_1.edf,noxturnal
weighted avg,0.7815750637981094,0.7140058765915769,0.7073850371897482,1021.0,,2SJ03_nuit_1.edf,noxturnal
N1,0.0,0.0,0.0,30.0,0.9696376101860921,2SJ03_nuit_1.edf,algo
N2,0.5987460815047022,0.5718562874251497,0.5849923430321593,334.0,0.7345739471106758,2SJ03_nuit_1.edf,algo
N3,1.0,0.29012345679012347,0.44976076555023925,324.0,0.7747306562193927,2SJ03_nuit_1.edf,algo
REM,0.8433734939759037,0.56,0.6730769230769231,250.0,0.8667972575905974,2SJ03_nuit_1.edf,algo
Wake,0.11337868480725624,0.6024096385542169,0.19083969465648856,83.0,0.584720861900098,2SJ03_nuit_1.edf,algo
accuracy,0.465230166503428,0.465230166503428,0.465230166503428,0.465230166503428,,2SJ03_nuit_1.edf,algo
macro avg,0.5110996520575725,0.404877876553898,0.379733945263162,1021.0,,2SJ03_nuit_1.edf,algo
weighted avg,0.728927517684181,0.465230166503428,0.514416117567814,1021.0,,2SJ03_nuit_1.edf,algo
